1	﻿怎么更改花呗手机号码	我的花呗是以前的手机号码，怎么更改成现在的支付宝的号码手机号	1
16	花呗的安全没有验证成功	花呗安全验证没通过怎么回事	1
18	借呗还款了，额度未恢复	借呗还款后额度没有恢复还显示借款	1
22	闲鱼可以使用花呗吗	花呗可以在闲鱼上面交易吗	1
25	花呗更改绑定银行卡	如何更换花呗绑定银行卡	1
32	花呗***期免息	蚂蚁花呗***期免息什么意思	1
34	开通花呗不用的话会有费用吗	开通花呗不用，会不会产生费用	1
42	我蚂蚁借呗放款没有到账	借呗还款为什么没有到帐	1
48	花呗怎么付款不鸟了	帮忙看一下我花呗怎么用不了	1
58	支付宝花呗分期还款怎么提前还清	蚂蚁花呗分期付款可以全部提前还款吗	1
59	注销了一个花呗账号，新账号是否还能再开通花呗了	把以前的帐号注销，现在这个能开通花呗吗	1
62	为何蚂蚁借呗不能使用了	我的借呗***年能有***年怎么不能用了	1
64	用了这么久的支付宝也不给开通借呗，哼	我用支付宝三四年了也不见给我开通借呗	1
67	蚂蚁借呗的额度为什么会下降	为什么借呗额度被降低了，没有不良记录	1
74	我***月份花呗消费是***元，怎么要我还***元	我原本这个月总的花呗需要还***元，我还了一次***，又还了一个***，剩余的应该是***，为何现在的是***，应还额度为何莫名的多了***	1
88	怎么花呗不能支付	花呗付款不了怎么回事	1
100	花呗支付可以使用购物津贴吗	使用购物津贴的费用可以用花呗吗	1
102	为什么每个人的借呗日息不一样	为什么借呗利息有的高有的底	1
109	怎么开通，花呗收款	怎么注册可以花呗收钱的	1
110	我的花呗怎么用这用这不让用了	我花呗为什么不能用了	1
112	蚂蚁花呗还款期数可以更改吗	我之前设置的花呗分期还款现在可以更改吗	1
115	花呗系统繁忙 是什么意思	点进花呗为什么是系统繁忙	1
118	花呗交的电费为什么没有到账	我用花呗交电费，显示缴费成功，但没有到账，怎么回事	1
120	我借呗能不能开通	如何开启借呗	1
124	花呗自动还款需要手续费ma	花呗自动还款还要收手续费吗	1
133	花呗退款后为什么确认收货还是原来的价钱	退款花呗后为什么金额还是不变	1
141	为什么我账户用不了花呗	要了我这个花呗，用不了什么情况，都差不多半年了	1
143	所以我今天用的花呗 就是下个月再还了	花呗是这个月花钱，下个月还款吗	1
145	花呗被冻结怎么恢复	花呗被封了怎么解除	1
157	花呗 临时额度可以分期吗	花呗的临时额度分期付款了，临时额度到期了，还可以继续分期付款吗	1
160	淘宝怎怎么用不了花呗购物了	淘宝买东西不能用花呗是吗	1
174	蚂蚁花呗可以支持交电费吗	现在交电费能用花呗吗	1
176	我在淘宝上买个东西，用花呗买了，但是手机上面显示签收了，但是我没有收到货物，钱划了	我这是订了什么单，货没收到钱花呗显示扣***元	1
